,Algorithm,Feature_Set,Accuracy,Precision,Recall,F1_Score,Best_Params,Features_Used,time
36,RandomForest,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7403,0.7322,0.7403,0.7316,"{'n_estimators': 290, 'max_depth': 21, 'min_samples_split': 4}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",5
35,XGBoost,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7335,0.7247,0.7335,0.7262,"{'n_estimators': 201, 'max_depth': 8, 'learning_rate': 0.1658103949878805, 'subsample': 0.8246252273289509, 'colsample_bytree': 0.9707251944354469}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",5
38,KNN,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7286,0.719,0.7286,0.7195,"{'n_neighbors': 19, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",5
37,SVM (RBF),Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7071,0.6985,0.7071,0.6939,"{'C': 67.26530157218065, 'gamma': 'scale'}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",5
26,RandomForest,Seq: Raw Accel + ODBA,0.7087,0.6863,0.7087,0.6878,"{'n_estimators': 206, 'max_depth': 26, 'min_samples_split': 6}","['x_g', 'y_g', 'z_g', 'odba']",5
31,RandomForest,Seq: Raw Accel + ODBA + VeDBA,0.7046,0.6812,0.7046,0.6834,"{'n_estimators': 213, 'max_depth': 22, 'min_samples_split': 3}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",5
30,XGBoost,Seq: Raw Accel + ODBA + VeDBA,0.7,0.6765,0.7,0.6779,"{'n_estimators': 135, 'max_depth': 9, 'learning_rate': 0.11188801956778555, 'subsample': 0.5872380160425269, 'colsample_bytree': 0.8678307028598217}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",5
28,KNN,Seq: Raw Accel + ODBA,0.6995,0.6707,0.6995,0.6759,"{'n_neighbors': 19, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g', 'odba']",5
33,KNN,Seq: Raw Accel + ODBA + VeDBA,0.6969,0.6695,0.6969,0.6732,"{'n_neighbors': 18, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",5
23,KNN,Seq: Raw Accel,0.693,0.6656,0.693,0.6723,"{'n_neighbors': 14, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g']",5
25,XGBoost,Seq: Raw Accel + ODBA,0.6926,0.6693,0.6926,0.6722,"{'n_estimators': 271, 'max_depth': 5, 'learning_rate': 0.2570247996149123, 'subsample': 0.5120552514297346, 'colsample_bytree': 0.8074056382212114}","['x_g', 'y_g', 'z_g', 'odba']",5
21,RandomForest,Seq: Raw Accel,0.6938,0.6675,0.6938,0.6705,"{'n_estimators': 258, 'max_depth': 30, 'min_samples_split': 9}","['x_g', 'y_g', 'z_g']",5
1,RandomForest,Indiv: Raw Accel,0.6918,0.6669,0.6918,0.6692,"{'n_estimators': 130, 'max_depth': 28, 'min_samples_split': 8}","['x_g', 'y_g', 'z_g']",5
3,KNN,Indiv: Raw Accel,0.6891,0.6618,0.6891,0.669,"{'n_neighbors': 13, 'weights': 'distance', 'p': 1}","['x_g', 'y_g', 'z_g']",5
20,XGBoost,Seq: Raw Accel,0.6792,0.6527,0.6792,0.6557,"{'n_estimators': 229, 'max_depth': 8, 'learning_rate': 0.1063982431717692, 'subsample': 0.8959864967416302, 'colsample_bytree': 0.8767737253243094}","['x_g', 'y_g', 'z_g']",5
0,XGBoost,Indiv: Raw Accel,0.6852,0.665,0.6852,0.655,"{'n_estimators': 235, 'max_depth': 9, 'learning_rate': 0.025849714930276727, 'subsample': 0.5992569120480427, 'colsample_bytree': 0.9205349671064837}","['x_g', 'y_g', 'z_g']",5
32,SVM (RBF),Seq: Raw Accel + ODBA + VeDBA,0.6798,0.65,0.6798,0.6442,"{'C': 89.53145360976202, 'gamma': 'scale'}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",5
27,SVM (RBF),Seq: Raw Accel + ODBA,0.675,0.6126,0.675,0.6393,"{'C': 22.611170521871376, 'gamma': 'auto'}","['x_g', 'y_g', 'z_g', 'odba']",5
2,SVM (RBF),Indiv: Raw Accel,0.6686,0.6073,0.6686,0.6303,"{'C': 99.04317220506435, 'gamma': 'scale'}","['x_g', 'y_g', 'z_g']",5
22,SVM (RBF),Seq: Raw Accel,0.6675,0.6059,0.6675,0.6295,"{'C': 57.80773971036831, 'gamma': 'auto'}","['x_g', 'y_g', 'z_g']",5
39,LogisticReg,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.6266,0.5955,0.6266,0.5868,{'C': 3.7943409606371623},"['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",5
34,LogisticReg,Seq: Raw Accel + ODBA + VeDBA,0.6199,0.5609,0.6199,0.5711,{'C': 0.35330638349555527},"['x_g', 'y_g', 'z_g', 'odba', 'vedba']",5
29,LogisticReg,Seq: Raw Accel + ODBA,0.6194,0.5605,0.6194,0.5704,{'C': 4.456880313221662},"['x_g', 'y_g', 'z_g', 'odba']",5
4,LogisticReg,Indiv: Raw Accel,0.6184,0.5583,0.6184,0.5681,{'C': 1.0680335820111304},"['x_g', 'y_g', 'z_g']",5
24,LogisticReg,Seq: Raw Accel,0.6184,0.5585,0.6184,0.5681,{'C': 0.24646486118637126},"['x_g', 'y_g', 'z_g']",5
15,XGBoost,Indiv: Magnitude,0.4721,0.4493,0.4721,0.4231,"{'n_estimators': 187, 'max_depth': 5, 'learning_rate': 0.24094458783929915, 'subsample': 0.5751048069751059, 'colsample_bytree': 0.5163930539730176}",['mag'],5
16,RandomForest,Indiv: Magnitude,0.4644,0.4402,0.4644,0.4217,"{'n_estimators': 261, 'max_depth': 13, 'min_samples_split': 10}",['mag'],5
18,KNN,Indiv: Magnitude,0.4506,0.4186,0.4506,0.4156,"{'n_neighbors': 18, 'weights': 'uniform', 'p': 1}",['mag'],5
17,SVM (RBF),Indiv: Magnitude,0.474,0.3446,0.474,0.387,"{'C': 4.983711614915146, 'gamma': 'auto'}",['mag'],5
19,LogisticReg,Indiv: Magnitude,0.443,0.3684,0.443,0.3567,{'C': 0.4759310307988957},['mag'],5
11,RandomForest,Indiv: VeDBA,0.3637,0.3279,0.3637,0.3321,"{'n_estimators': 259, 'max_depth': 24, 'min_samples_split': 7}",['vedba'],5
8,KNN,Indiv: ODBA,0.367,0.3285,0.367,0.3321,"{'n_neighbors': 14, 'weights': 'uniform', 'p': 1}",['odba'],5
5,XGBoost,Indiv: ODBA,0.3895,0.3374,0.3895,0.3304,"{'n_estimators': 228, 'max_depth': 6, 'learning_rate': 0.23623911471017012, 'subsample': 0.5300440298319167, 'colsample_bytree': 0.8350795707985814}",['odba'],5
6,RandomForest,Indiv: ODBA,0.3673,0.3218,0.3673,0.3256,"{'n_estimators': 279, 'max_depth': 20, 'min_samples_split': 9}",['odba'],5
13,KNN,Indiv: VeDBA,0.3637,0.3184,0.3637,0.3256,"{'n_neighbors': 18, 'weights': 'uniform', 'p': 2}",['vedba'],5
10,XGBoost,Indiv: VeDBA,0.3853,0.3334,0.3853,0.3245,"{'n_estimators': 101, 'max_depth': 6, 'learning_rate': 0.18991084407241063, 'subsample': 0.7808040747777744, 'colsample_bytree': 0.7077954361555081}",['vedba'],5
7,SVM (RBF),Indiv: ODBA,0.39,0.2783,0.39,0.2965,"{'C': 13.660122958896084, 'gamma': 'auto'}",['odba'],5
12,SVM (RBF),Indiv: VeDBA,0.3884,0.2771,0.3884,0.2938,"{'C': 13.574023555276048, 'gamma': 'scale'}",['vedba'],5
14,LogisticReg,Indiv: VeDBA,0.3893,0.2786,0.3893,0.2923,{'C': 0.5630604814803529},['vedba'],5
9,LogisticReg,Indiv: ODBA,0.3884,0.2775,0.3884,0.2909,{'C': 1.0357022877710604},['odba'],5
