Model,Accuracy,f1_macro
RNN,0.8743760399334443,0.7251304878508065
RNN,0.8861301369863014,0.7636207472695307
RNN,0.8029710711493354,0.6294224611650245
RNN,0.8390625,0.6213806991972309
RNN,0.8940345368916798,0.662198545577541
RNN,0.9347319347319347,0.6685931895856624
RNN,0.9371766444937176,0.6545497368339095
LSTM,0.8660565723793677,0.684243640555001
LSTM,0.877568493150685,0.7282765562555965
LSTM,0.7943706020328382,0.5362286673904556
LSTM,0.8296875,0.589965181949866
LSTM,0.8987441130298273,0.6740820272449694
LSTM,0.9292929292929293,0.7272104777108114
LSTM,0.9386548410938654,0.6656491895744159
BiLSTM,0.8801996672212978,0.7228283706897276
BiLSTM,0.889554794520548,0.7566688978654307
BiLSTM,0.7873338545738858,0.54272728867723
BiLSTM,0.84609375,0.6297976686079427
BiLSTM,0.8995290423861853,0.6885541982768283
BiLSTM,0.9184149184149184,0.689574800818528
BiLSTM,0.9327420546932742,0.6623477576012288
GatedConvNet,0.8585690515806988,0.6029484702096131
GatedConvNet,0.8835616438356164,0.7319003545459193
GatedConvNet,0.8084440969507428,0.5573575989847529
GatedConvNet,0.84140625,0.6024310943083842
GatedConvNet,0.8924646781789639,0.6586797649175434
GatedConvNet,0.9215229215229215,0.659527475866625
GatedConvNet,0.9416112342941612,0.6350982388438802
Transformer,0.867720465890183,0.7248313429347961
Transformer,0.8809931506849316,0.7532409431711525
Transformer,0.8100078186082877,0.6052526009656333
Transformer,0.83359375,0.648147441261101
Transformer,0.8924646781789639,0.6962797977684613
Transformer,0.9269619269619269,0.7521770209642321
Transformer,0.934220251293422,0.6518437118437118
