trial_number,model_family,model_type,feature_set,window,thresh,steps,rf_n_estimators,rf_max_depth,xgb_n_estimators,xgb_lr,xgb_max_depth,svm_C,svm_kernel,nb_var_smoothing,ts_hidden_dim,ts_lr,ts_batch_size,avg_accuracy,avg_precision,avg_recall,avg_f1_macro,pooled_test_distribution
0,TimeSeries,LSTM,base_plus_enmo,10,0.75,20,,,,,,,,,32,0.006417156432610213,64,0.8641,0.7901,0.6835,0.6961,"{np.int64(1): 11094, np.int64(2): 1418, np.int64(0): 6225}"
1,TimeSeries,RNN,all_features,10,0.8,15,,,,,,,,,32,0.0065150195581247525,32,0.8696,0.7714,0.691,0.7037,"{np.int64(1): 11059, np.int64(2): 1369, np.int64(0): 6185}"
2,TimeSeries,BiLSTM,base_plus_enmo,20,0.65,5,,,,,,,,,64,0.0002861096219604863,64,0.8547,0.7323,0.6342,0.631,"{np.int64(1): 5642, np.int64(2): 659, np.int64(0): 3150}"
3,TimeSeries,BiLSTM,all_features,10,0.7,10,,,,,,,,,64,0.0005589496671339598,16,0.8632,0.7841,0.6792,0.6951,"{np.int64(1): 11229, np.int64(2): 1497, np.int64(0): 6322}"
4,TimeSeries,RNN,base_features,20,0.6,10,,,,,,,,,64,0.0002705739484708891,64,0.8539,0.7537,0.6279,0.6228,"{np.int64(1): 5686, np.int64(2): 713, np.int64(0): 3213}"
5,TimeSeries,RNN,base_plus_enmo,15,0.6,15,,,,,,,,,32,0.0002542325222136886,32,0.8553,0.751,0.6496,0.654,"{np.int64(1): 7586, np.int64(2): 1032, np.int64(0): 4279}"
6,TimeSeries,LSTM,base_plus_enmo,10,0.6,20,,,,,,,,,128,0.0012071576724082083,64,0.8496,0.77,0.6649,0.6739,"{np.int64(1): 11406, np.int64(2): 1723, np.int64(0): 6487}"
7,TimeSeries,Transformer,all_features,25,0.8,20,,,,,,,,,32,0.00012862877934238562,64,0.8871,0.7226,0.657,0.6619,"{np.int64(2): 349, np.int64(0): 2296, np.int64(1): 4192}"
8,TimeSeries,RNN,base_plus_enmo,30,0.75,10,,,,,,,,,64,0.004123097799855914,64,0.8811,0.7289,0.6512,0.6578,"{np.int64(2): 312, np.int64(1): 3573, np.int64(0): 1953}"
9,TimeSeries,LSTM,all_features,25,0.7,15,,,,,,,,,64,0.003146277522768431,64,0.8708,0.6992,0.6342,0.6309,"{np.int64(1): 4371, np.int64(0): 2432, np.int64(2): 425}"
10,Classical,SVM,base_features,15,0.8,,,,,,,0.0018782849830628794,linear,,,,,0.854,0.5673,0.6063,0.5839,"{np.int64(1): 7273, np.int64(2): 774, np.int64(0): 4005}"
11,Classical,NB,all_features,10,0.75,,,,,,,,,1.7164693263022984e-09,,,,0.8335,0.7126,0.7624,0.7208,"{np.int64(1): 11204, np.int64(2): 1427, np.int64(0): 6246}"
